"Path","Name","Category","Priority","Status"
"agents\00-orchestrator\orchestrator\AGENT.md","orchestrator","00-orchestrator","critical","production"
"agents\10-intelligence\agent-builder\AGENT.md","Agent Builder","10-intelligence","high","production"
"agents\10-intelligence\ai-workflow-designer\AGENT.md","AI Workflow Designer","10-intelligence","high","stable"
"agents\10-intelligence\benchmark-engineer\AGENT.md","Benchmark Engineer","10-intelligence","medium","stable"
"agents\10-intelligence\deep-research-agent\AGENT.md","Deep Research Agent","10-intelligence","high","production"
"agents\10-intelligence\fact-checker\AGENT.md","Fact Checker","10-intelligence","medium","stable"
"agents\10-intelligence\fine-tuning-specialist\AGENT.md","Fine Tuning Specialist","10-intelligence","high","production"
"agents\10-intelligence\llm-evaluator\AGENT.md","LLM Evaluator","10-intelligence","high","production"
"agents\10-intelligence\prompt-engineer\AGENT.md","Prompt Engineer","10-intelligence","critical","production"
"agents\10-intelligence\prompt-optimizer\AGENT.md","Prompt Optimizer","10-intelligence","high","stable"
"agents\10-intelligence\rag-architect\AGENT.md","RAG Architect","10-intelligence","high","production"
"agents\15-research\architecture-research-agent\AGENT.md","architecture-research-agent","15-research","medium","stable"
"agents\15-research\best-practice-research-agent\AGENT.md","best-practice-research-agent","15-research","medium","stable"
"agents\15-research\documentation-research-agent\AGENT.md","documentation-research-agent","15-research","medium","stable"
"agents\15-research\github-research-agent\AGENT.md","github-research-agent","15-research","medium","stable"
"agents\15-research\technology-comparison-agent\AGENT.md","technology-comparison-agent","15-research","medium","stable"
"agents\20-planning\design-thinker\AGENT.md","design-thinker","20-planning","high","production"
"agents\20-planning\feature-planner\AGENT.md","feature-planner","20-planning","high","production"
"agents\20-planning\project-planner\AGENT.md","project-planner","20-planning","high","production"
"agents\20-planning\risk-planner\AGENT.md","risk-planner","20-planning","high","production"
"agents\20-planning\roadmap-planner\AGENT.md","roadmap-planner","20-planning","high","production"
"agents\20-planning\sprint-planner\AGENT.md","sprint-planner","20-planning","high","production"
"agents\20-planning\task-planner\AGENT.md","task-planner","20-planning","high","production"
"agents\25-architecture\api-designer\AGENT.md","api-designer","25-architecture","high","production"
"agents\25-architecture\architecture-reviewer\AGENT.md","architecture-reviewer","25-architecture","high","production"
"agents\25-architecture\cloud-architect\AGENT.md","cloud-architect","25-architecture","high","production"
"agents\25-architecture\database-architect\AGENT.md","database-architect","25-architecture","high","production"
"agents\25-architecture\dependency-architect\AGENT.md","dependency-architect","25-architecture","high","production"
"agents\25-architecture\event-driven-architect\AGENT.md","event-driven-architect","25-architecture","high","production"
"agents\25-architecture\graphql-architect\AGENT.md","graphql-architect","25-architecture","high","production"
"agents\25-architecture\legacy-modernizer\AGENT.md","legacy-modernizer","25-architecture","high","production"
"agents\25-architecture\microservices-architect\AGENT.md","microservices-architect","25-architecture","high","production"
"agents\25-architecture\repository-mapper\AGENT.md","repository-mapper","25-architecture","high","production"
"agents\25-architecture\solution-architect\AGENT.md","solution-architect","25-architecture","critical","production"
"agents\25-architecture\system-architect\AGENT.md","system-architect","25-architecture","critical","production"
"agents\30-development\api-engineer\AGENT.md","API Engineer","30-development","""high""","""production"""
"agents\30-development\backend-engineer\AGENT.md","Backend Engineer","30-development","""critical""","""production"""
"agents\30-development\cli-engineer\AGENT.md","CLI Engineer","30-development","""medium""","""stable"""
"agents\30-development\code-completer\AGENT.md","Code Completer","30-development","""high""","""production"""
"agents\30-development\database-engineer\AGENT.md","Database Engineer","30-development","""high""","""production"""
"agents\30-development\desktop-engineer\AGENT.md","Desktop Engineer","30-development","""medium""","""stable"""
"agents\30-development\framework-engineer\AGENT.md","Framework Engineer","30-development","""high""","""production"""
"agents\30-development\frontend-engineer\AGENT.md","Frontend Engineer","30-development","""critical""","""production"""
"agents\30-development\full-stack-engineer\AGENT.md","Full Stack Engineer","30-development","""critical""","""production"""
"agents\30-development\library-engineer\AGENT.md","Library Engineer","30-development","""high""","""production"""
"agents\30-development\sdk-engineer\AGENT.md","SDK Engineer","30-development","""high""","""production"""
"agents\30-development\senior-software-engineer\AGENT.md","Senior Software Engineer","30-development","""critical""","""production"""
"agents\31-backend\csharp-engineer\AGENT.md","C# Engineer","31-backend","""high""","""production"""
"agents\31-backend\django-engineer\AGENT.md","Django Engineer","31-backend","""high""","""production"""
"agents\31-backend\fastapi-engineer\AGENT.md","FastAPI Engineer","31-backend","""high""","""production"""
"agents\31-backend\go-engineer\AGENT.md","Go Engineer","31-backend","""high""","""production"""
"agents\31-backend\java-engineer\AGENT.md","Java Engineer","31-backend","""high""","""production"""
"agents\31-backend\kotlin-engineer\AGENT.md","Kotlin Engineer","31-backend","""high""","""production"""
"agents\31-backend\laravel-engineer\AGENT.md","Laravel Engineer","31-backend","""high""","""production"""
"agents\31-backend\nestjs-engineer\AGENT.md","NestJS Engineer","31-backend","""high""","""production"""
"agents\31-backend\nodejs-engineer\AGENT.md","Node.js Engineer","31-backend","""critical""","""production"""
"agents\31-backend\php-engineer\AGENT.md","PHP Engineer","31-backend","""high""","""production"""
"agents\31-backend\python-engineer\AGENT.md","Python Engineer","31-backend","""critical""","""production"""
"agents\31-backend\rails-engineer\AGENT.md","Rails Engineer","31-backend","""high""","""production"""
"agents\31-backend\rust-engineer\AGENT.md","Rust Engineer","31-backend","""high""","""production"""
"agents\31-backend\spring-engineer\AGENT.md","Spring Engineer","31-backend","""high""","""production"""
"agents\32-frontend\accessibility-engineer\AGENT.md","accessibility-engineer","32-frontend","medium","stable"
"agents\32-frontend\angular-engineer\AGENT.md","angular-engineer","32-frontend","high","production"
"agents\32-frontend\animation-engineer\AGENT.md","animation-engineer","32-frontend","medium","stable"
"agents\32-frontend\css-specialist\AGENT.md","css-specialist","32-frontend","medium","stable"
"agents\32-frontend\nextjs-engineer\AGENT.md","nextjs-engineer","32-frontend","critical","production"
"agents\32-frontend\react-engineer\AGENT.md","react-engineer","32-frontend","critical","production"
"agents\32-frontend\responsive-design-engineer\AGENT.md","responsive-design-engineer","32-frontend","medium","stable"
"agents\32-frontend\typescript-engineer\AGENT.md","typescript-engineer","32-frontend","critical","production"
"agents\32-frontend\ui-polish-agent\AGENT.md","ui-polish-agent","32-frontend","high","stable"
"agents\32-frontend\vue-engineer\AGENT.md","vue-engineer","32-frontend","high","production"
"agents\33-mobile\android-engineer\AGENT.md","Android Engineer","33-mobile","high","production"
"agents\33-mobile\appium-engineer\AGENT.md","Appium Engineer","33-mobile","medium","stable"
"agents\33-mobile\flutter-engineer\AGENT.md","Flutter Engineer","33-mobile","high","production"
"agents\33-mobile\ios-engineer\AGENT.md","iOS Engineer","33-mobile","high","production"
"agents\33-mobile\kotlin-mobile-engineer\AGENT.md","Kotlin Mobile Engineer","33-mobile","high","production"
"agents\33-mobile\react-native-engineer\AGENT.md","React Native Engineer","33-mobile","critical","production"
"agents\33-mobile\swift-engineer\AGENT.md","Swift Engineer","33-mobile","high","production"
"agents\35-integrations\atlassian-integration-agent\AGENT.md","atlassian-integration-agent","35-integrations","high","production"
"agents\35-integrations\github-integration-agent\AGENT.md","github-integration-agent","35-integrations","high","production"
"agents\35-integrations\salesforce-integration-agent\AGENT.md","salesforce-integration-agent","35-integrations","medium","stable"
"agents\35-integrations\shopify-integration-agent\AGENT.md","shopify-integration-agent","35-integrations","medium","stable"
"agents\35-integrations\slack-integration-agent\AGENT.md","slack-integration-agent","35-integrations","low","stable"
"agents\35-integrations\wecom-integration-agent\AGENT.md","wecom-integration-agent","35-integrations","low","stable"
"agents\35-integrations\wordpress-integration-agent\AGENT.md","wordpress-integration-agent","35-integrations","medium","stable"
"agents\40-testing\accessibility-tester\AGENT.md","accessibility-tester","40-testing","medium","stable"
"agents\40-testing\coverage-analyzer\AGENT.md","coverage-analyzer","40-testing","high","production"
"agents\40-testing\e2e-test-engineer\AGENT.md","e2e-test-engineer","40-testing","critical","production"
"agents\40-testing\integration-test-engineer\AGENT.md","integration-test-engineer","40-testing","high","production"
"agents\40-testing\mock-generator\AGENT.md","mock-generator","40-testing","medium","stable"
"agents\40-testing\performance-tester\AGENT.md","performance-tester","40-testing","high","production"
"agents\40-testing\qa-engineer\AGENT.md","qa-engineer","40-testing","critical","production"
"agents\40-testing\regression-tester\AGENT.md","regression-tester","40-testing","high","production"
"agents\40-testing\test-preservation-agent\AGENT.md","test-preservation-agent","40-testing","high","production"
"agents\40-testing\unit-test-engineer\AGENT.md","unit-test-engineer","40-testing","critical","production"
"agents\42-debugging\bug-finder\AGENT.md","bug-finder","42-debugging","critical","production"
"agents\42-debugging\bug-fixer\AGENT.md","bug-fixer","42-debugging","critical","production"
"agents\42-debugging\concurrency-debugger\AGENT.md","concurrency-debugger","42-debugging","high","production"
"agents\42-debugging\crash-analyzer\AGENT.md","crash-analyzer","42-debugging","critical","production"
"agents\42-debugging\edge-case-analyzer\AGENT.md","edge-case-analyzer","42-debugging","medium","stable"
"agents\42-debugging\logic-error-detector\AGENT.md","logic-error-detector","42-debugging","high","production"
"agents\42-debugging\memory-leak-detector\AGENT.md","memory-leak-detector","42-debugging","high","production"
"agents\42-debugging\performance-regression-detector\AGENT.md","performance-regression-detector","42-debugging","high","production"
"agents\42-debugging\race-condition-detector\AGENT.md","race-condition-detector","42-debugging","high","production"
"agents\42-debugging\runtime-error-specialist\AGENT.md","runtime-error-specialist","42-debugging","critical","production"
"agents\42-debugging\stack-trace-analyzer\AGENT.md","stack-trace-analyzer","42-debugging","critical","production"
"agents\42-debugging\systematic-debugger\AGENT.md","systematic-debugger","42-debugging","high","production"
"agents\45-code-review\clean-code-auditor\AGENT.md","clean-code-auditor","45-code-review","high","production"
"agents\45-code-review\code-reviewer\AGENT.md","code-reviewer","45-code-review","critical","production"
"agents\45-code-review\code-simplifier\AGENT.md","code-simplifier","45-code-review","medium","production"
"agents\45-code-review\complexity-analyzer\AGENT.md","complexity-analyzer","45-code-review","medium","stable"
"agents\45-code-review\dead-code-remover\AGENT.md","dead-code-remover","45-code-review","medium","stable"
"agents\45-code-review\design-pattern-advisor\AGENT.md","design-pattern-advisor","45-code-review","medium","stable"
"agents\45-code-review\duplicate-code-detector\AGENT.md","duplicate-code-detector","45-code-review","medium","stable"
"agents\45-code-review\naming-reviewer\AGENT.md","naming-reviewer","45-code-review","low","stable"
"agents\45-code-review\refactoring-agent\AGENT.md","refactoring-agent","45-code-review","high","production"
"agents\45-code-review\solid-validator\AGENT.md","solid-validator","45-code-review","high","production"
"agents\45-code-review\staff-engineer-reviewer\AGENT.md","staff-engineer-reviewer","45-code-review","high","production"
"agents\45-code-review\style-enforcer\AGENT.md","style-enforcer","45-code-review","low","stable"
"agents\50-security\api-security-auditor\AGENT.md","api-security-auditor","50-security","high","production"
"agents\50-security\authentication-reviewer\AGENT.md","authentication-reviewer","50-security","critical","production"
"agents\50-security\authorization-reviewer\AGENT.md","authorization-reviewer","50-security","critical","production"
"agents\50-security\cloud-security-reviewer\AGENT.md","cloud-security-reviewer","50-security","high","production"
"agents\50-security\dependency-auditor\AGENT.md","dependency-auditor","50-security","high","production"
"agents\50-security\owasp-specialist\AGENT.md","owasp-specialist","50-security","critical","production"
"agents\50-security\penetration-review-agent\AGENT.md","penetration-review-agent","50-security","high","production"
"agents\50-security\secrets-scanner\AGENT.md","secrets-scanner","50-security","critical","production"
"agents\50-security\security-auditor\AGENT.md","security-auditor","50-security","critical","production"
"agents\50-security\supply-chain-auditor\AGENT.md","supply-chain-auditor","50-security","high","production"
"agents\60-devops\devops-engineer\AGENT.md","devops-engineer","60-devops","critical","production"
"agents\60-devops\infrastructure-engineer\AGENT.md","infrastructure-engineer","60-devops","critical","production"
"agents\60-devops\monitoring-engineer\AGENT.md","monitoring-engineer","60-devops","high","production"
"agents\60-devops\observability-engineer\AGENT.md","observability-engineer","60-devops","high","production"
"agents\60-devops\release-engineer\AGENT.md","release-engineer","60-devops","high","production"
"agents\60-devops\sre-engineer\AGENT.md","sre-engineer","60-devops","critical","production"
"agents\62-deployment\cicd-engineer\AGENT.md","cicd-engineer","62-deployment","critical","production"
"agents\62-deployment\deployment-engineer\AGENT.md","deployment-engineer","62-deployment","critical","production"
"agents\62-deployment\docker-engineer\AGENT.md","docker-engineer","62-deployment","critical","production"
"agents\62-deployment\kubernetes-engineer\AGENT.md","kubernetes-engineer","62-deployment","critical","production"
"agents\62-deployment\terraform-engineer\AGENT.md","terraform-engineer","62-deployment","critical","production"
"agents\65-release\compatibility-checker\AGENT.md","compatibility-checker","65-release","high","production"
"agents\65-release\migration-planner\AGENT.md","migration-planner","65-release","high","production"
"agents\65-release\release-engineer\AGENT.md","release-engineer","65-release","high","production"
"agents\65-release\release-manager\AGENT.md","release-manager","65-release","critical","production"
"agents\65-release\semantic-version-manager\AGENT.md","semantic-version-manager","65-release","medium","stable"
"agents\67-monitoring\error-monitoring-specialist\AGENT.md","error-monitoring-specialist","67-monitoring","high","production"
"agents\67-monitoring\logging-specialist\AGENT.md","logging-specialist","67-monitoring","medium","stable"
"agents\67-monitoring\observability-engineer\AGENT.md","observability-engineer","67-monitoring","high","production"
"agents\67-monitoring\telemetry-reviewer\AGENT.md","telemetry-reviewer","67-monitoring","medium","stable"
"agents\70-optimization\algorithm-optimizer\AGENT.md","algorithm-optimizer","70-optimization","medium","stable"
"agents\70-optimization\build-optimizer\AGENT.md","build-optimizer","70-optimization","high","production"
"agents\72-performance\bundle-optimizer\AGENT.md","bundle-optimizer","72-performance","high","production"
"agents\72-performance\caching-optimizer\AGENT.md","caching-optimizer","72-performance","high","production"
"agents\72-performance\cpu-optimizer\AGENT.md","cpu-optimizer","72-performance","high","production"
"agents\72-performance\database-optimizer\AGENT.md","database-optimizer","72-performance","high","production"
"agents\72-performance\memory-optimizer\AGENT.md","memory-optimizer","72-performance","high","production"
"agents\72-performance\network-optimizer\AGENT.md","network-optimizer","72-performance","high","production"
"agents\72-performance\performance-optimizer\AGENT.md","performance-optimizer","72-performance","critical","production"
"agents\72-performance\rendering-optimizer\AGENT.md","rendering-optimizer","72-performance","high","production"
"agents\75-documentation\api-documentation-writer\AGENT.md","api-documentation-writer","75-documentation","medium","stable"
"agents\75-documentation\architecture-documentation-writer\AGENT.md","architecture-documentation-writer","75-documentation","medium","stable"
"agents\75-documentation\changelog-generator\AGENT.md","changelog-generator","75-documentation","low","stable"
"agents\75-documentation\code-documenter\AGENT.md","code-documenter","75-documentation","medium","stable"
"agents\75-documentation\comment-generator\AGENT.md","comment-generator","75-documentation","low","stable"
"agents\75-documentation\readme-generator\AGENT.md","readme-generator","75-documentation","low","stable"
"agents\80-automation\auto-fix-agent\AGENT.md","auto-fix-agent","80-automation","high","production"
"agents\80-automation\auto-setup-agent\AGENT.md","auto-setup-agent","80-automation","high","production"
"agents\80-automation\context-manager\AGENT.md","context-manager","80-automation","high","production"
"agents\80-automation\file-organizer\AGENT.md","file-organizer","80-automation","low","stable"
"agents\80-automation\token-optimizer\AGENT.md","token-optimizer","80-automation","medium","stable"
"agents\80-automation\verification-agent\AGENT.md","verification-agent","80-automation","high","production"
"agents\80-automation\workflow-optimizer\AGENT.md","workflow-optimizer","80-automation","high","production"
"agents\85-repository\configuration-auditor\AGENT.md","configuration-auditor","85-repository","medium","stable"
"agents\85-repository\dependency-analyzer\AGENT.md","dependency-analyzer","85-repository","high","production"
"agents\85-repository\file-structure-optimizer\AGENT.md","file-structure-optimizer","85-repository","medium","stable"
"agents\85-repository\repository-analyzer\AGENT.md","repository-analyzer","85-repository","high","production"
"agents\85-repository\repository-health-checker\AGENT.md","repository-health-checker","85-repository","medium","stable"
"agents\85-repository\workspace-analyzer\AGENT.md","workspace-analyzer","85-repository","medium","stable"
"agents\90-utilities\domain-name-agent\AGENT.md","domain-name-agent","90-utilities","low","stable"
"agents\90-utilities\excel-agent\AGENT.md","excel-agent","90-utilities","low","stable"
"agents\90-utilities\invoice-organizer\AGENT.md","invoice-organizer","90-utilities","low","stable"
"agents\90-utilities\local-seo-manager\AGENT.md","local-seo-manager","90-utilities","low","stable"
"agents\90-utilities\pdf-agent\AGENT.md","pdf-agent","90-utilities","low","stable"
"agents\90-utilities\slide-deck-creator\AGENT.md","slide-deck-creator","90-utilities","low","stable"
"agents\90-utilities\video-download-agent\AGENT.md","video-download-agent","90-utilities","low","stable"
"agents\90-utilities\web-scraping-agent\AGENT.md","web-scraping-agent","90-utilities","medium","stable"
